date,location,cases_total,cases_active,cases_recovered,deaths
2021/02/03,City Of Edmonton,42319,1685.0,39904.0,730.0
2020/11/19,City Of Edmonton,14056,3573.0,10311.0,172.0
2020/12/12,City Of Edmonton,27866,7923.0,19642.0,301.0
2020/09/10,City Of Edmonton,3338,530.0,2743.0,65.0
2020/11/18,City Of Edmonton,13657,3459.0,10031.0,167.0
2021/03/28,City Of Edmonton,46239,1333.0,44070.0,836.0
2020/12/16,City Of Edmonton,30210,7707.0,22170.0,333.0
2020/08/25,City Of Edmonton,2483,557.0,1869.0,57.0
2020/04/12,City Of Edmonton,270,130.0,134.0,6.0
2021/01/27,City Of Edmonton,41711,2221.0,38783.0,707.0
2020/08/20,City Of Edmonton,2300,608.0,1638.0,54.0
2021/01/20,City Of Edmonton,40732,2932.0,37138.0,662.0
2020/10/18,City Of Edmonton,6788,1320.0,5385.0,83.0
2020/08/05,City Of Edmonton,1574,300.0,1225.0,49.0
2020/06/11,City Of Edmonton,513,136.0,365.0,12.0
2021/01/30,City Of Edmonton,41980,1960.0,39303.0,717.0
2020/05/24,City Of Edmonton,373,49.0,312.0,12.0
2020/11/30,City Of Edmonton,19857,6033.0,13606.0,218.0
2021/02/17,City Of Edmonton,43220,1036.0,41407.0,777.0
2020/05/14,City Of Edmonton,367,53.0,303.0,11.0
2021/01/10,City Of Edmonton,38840,4444.0,33809.0,587.0
2020/04/18,City Of Edmonton,306,106.0,193.0,7.0
2020/05/19,City Of Edmonton,369,49.0,309.0,11.0
2021/05/30,City Of Edmonton,60473,1532.0,58052.0,889.0
2020/11/03,City Of Edmonton,9534,2143.0,7280.0,111.0
2020/08/30,City Of Edmonton,2716,500.0,2157.0,59.0
2020/12/14,City Of Edmonton,29168,8083.0,20774.0,311.0
2020/06/13,City Of Edmonton,538,155.0,371.0,12.0
2020/06/12,City Of Edmonton,527,144.0,371.0,12.0
2021/04/17,City Of Edmonton,50317,3221.0,46243.0,853.0
2020/12/15,City Of Edmonton,29629,7890.0,21421.0,318.0
2020/08/31,City Of Edmonton,2777,492.0,2225.0,60.0
2021/01/06,City Of Edmonton,37892,4487.0,32860.0,545.0
2021/03/14,City Of Edmonton,44920,974.0,43124.0,822.0
2021/03/17,City Of Edmonton,45193,1042.0,43328.0,823.0
2021/03/04,City Of Edmonton,44233,901.0,42526.0,806.0
2020/04/20,City Of Edmonton,307,91.0,208.0,8.0
2020/12/13,City Of Edmonton,28696,8262.0,20128.0,306.0
2021/04/24,City Of Edmonton,52552,3997.0,47697.0,858.0
2021/02/26,City Of Edmonton,43800,754.0,42245.0,801.0
2020/08/18,City Of Edmonton,2181,571.0,1556.0,54.0
2020/05/11,City Of Edmonton,363,54.0,298.0,11.0
2021/02/09,City Of Edmonton,42727,1357.0,40621.0,749.0
2020/07/21,City Of Edmonton,1209,205.0,978.0,26.0
2020/04/26,Abbottsfield,6,1.0,5.0,0.0
2020/05/17,Abbottsfield,6,0.0,6.0,0.0
2020/07/13,Abbottsfield,11,4.0,7.0,0.0
2020/07/22,Abbottsfield,13,5.0,7.0,1.0
2020/05/26,Abbottsfield,6,0.0,6.0,0.0
2020/04/19,Abbottsfield,6,3.0,3.0,0.0
2020/06/27,Abbottsfield,6,1.0,5.0,0.0
2020/04/14,Abbottsfield,5,3.0,2.0,0.0
2020/05/04,Abbottsfield,6,0.0,6.0,0.0
2020/04/24,Abbottsfield,6,1.0,5.0,0.0
2020/07/28,Abbottsfield,14,2.0,11.0,1.0
2020/04/20,Abbottsfield,6,2.0,4.0,0.0
2020/05/31,Abbottsfield,6,0.0,6.0,0.0
2020/05/16,Abbottsfield,6,0.0,6.0,0.0
2020/04/23,Abbottsfield,6,1.0,5.0,0.0
2020/06/21,Abbottsfield,5,1.0,4.0,0.0
2020/06/12,Abbottsfield,4,0.0,4.0,0.0
2020/05/29,Abbottsfield,6,0.0,6.0,0.0
2020/07/07,Abbottsfield,7,1.0,6.0,0.0
2020/07/26,Abbottsfield,14,2.0,11.0,1.0
2020/07/16,Abbottsfield,11,3.0,7.0,1.0
2020/08/06,Abbottsfield,17,3.0,13.0,1.0
2020/06/22,Abbottsfield,5,1.0,4.0,0.0
2020/08/03,Abbottsfield,15,2.0,12.0,1.0
2020/05/11,Abbottsfield,6,0.0,6.0,0.0
2020/06/13,Abbottsfield,4,0.0,4.0,0.0
2020/04/22,Abbottsfield,6,1.0,5.0,0.0
2020/05/06,Abbottsfield,6,0.0,6.0,0.0
2020/06/09,Abbottsfield,5,1.0,4.0,0.0
2020/05/30,Abbottsfield,6,0.0,6.0,0.0
2020/06/04,Abbottsfield,6,0.0,6.0,0.0
2020/04/12,Abbottsfield,5,3.0,2.0,0.0
2020/03/22,Abbottsfield,0,,,
2020/07/19,Abbottsfield,12,4.0,7.0,1.0
2020/06/10,Abbottsfield,5,1.0,4.0,0.0
2020/06/29,Abbottsfield,6,1.0,5.0,0.0
2020/05/27,Abbottsfield,6,0.0,6.0,0.0
2020/04/25,Abbottsfield,6,1.0,5.0,0.0
2020/06/23,Abbottsfield,5,1.0,4.0,0.0
2020/05/19,Abbottsfield,6,0.0,6.0,0.0
2020/05/10,Abbottsfield,6,0.0,6.0,0.0
2020/08/10,Abbottsfield,17,3.0,13.0,1.0
2020/05/20,Abbottsfield,6,0.0,6.0,0.0
2020/07/15,Abbottsfield,11,3.0,7.0,1.0
2020/06/16,Abbottsfield,5,1.0,4.0,0.0
2020/05/15,Abbottsfield,6,0.0,6.0,0.0
2020/04/09,Abbottsfield,5,5.0,0.0,0.0
2020/05/14,Abbottsfield,6,0.0,6.0,0.0
2020/05/28,Abbottsfield,6,0.0,6.0,0.0
2020/06/14,Abbottsfield,5,1.0,4.0,0.0
2020/07/01,Abbottsfield,6,1.0,5.0,0.0
2020/07/30,Abbottsfield,14,2.0,11.0,1.0
2020/08/12,Abbottsfield,19,5.0,13.0,1.0
2020/07/05,Abbottsfield,7,1.0,6.0,0.0
2020/06/24,Abbottsfield,5,1.0,4.0,0.0
2020/07/21,Abbottsfield,13,5.0,7.0,1.0
2020/06/20,Abbottsfield,5,1.0,4.0,0.0
2020/04/18,Abbottsfield,6,3.0,3.0,0.0
2020/04/28,Abbottsfield,6,0.0,6.0,0.0
2020/05/25,Abbottsfield,6,0.0,6.0,0.0
2020/06/05,Abbottsfield,6,0.0,6.0,0.0
2020/06/08,Abbottsfield,5,1.0,4.0,0.0
2020/05/24,Abbottsfield,6,0.0,6.0,0.0
2020/07/12,Abbottsfield,11,4.0,7.0,0.0
2020/05/07,Abbottsfield,6,0.0,6.0,0.0
2020/07/08,Abbottsfield,7,0.0,6.0,1.0
2020/05/02,Abbottsfield,6,0.0,6.0,0.0
