name,local health area,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
Upper Mount Royal,Elbow,3.0,87.0,92.0,2.0,1344.0,315.0,1658.0,0.0,2515,50890.0,0.04942031833366084,320,1835,315,50,1270,1245,2.4,1975,450,65,80,45,165,420,1615.0,2200.0,0.66,0.61,730,95.0,215,205
Windsor Park,Elbow,4.0,154.0,161.0,3.0,2364.0,554.0,2918.0,1.0,4425,50890.0,0.08695224995087443,510,3365,465,85,2065,2365,1.9,2735,1520,560,170,95,330,960,2625.0,3915.0,0.74,0.67,1600,500.0,335,670
acadia,Fish Creek,17.0,413.0,434.0,4.0,6897.0,1231.0,8128.0,3.0,10435,105190.0,0.09920144500427798,1375,7340,1485,235,5245,5185,2.2,7710,2495,695,225,500,1385,2660,5005.0,9055.0,0.7,0.61,3880,865.0,395,1270
bonavista-downs,Fish Creek,1.0,35.0,37.0,0.0,582.0,104.0,685.0,0.0,880,105190.0,0.008365814240897424,140,615,115,10,455,425,2.3,770,115,20,0,30,105,235,400.0,740.0,0.76,0.71,455,40.0,10,55
braeside,Fish Creek,10.0,240.0,252.0,2.0,4002.0,714.0,4716.0,2.0,6055,105190.0,0.057562505941629434,940,4215,835,65,2975,3080,2.4,4680,1315,290,60,135,605,1510,3005.0,5115.0,0.72,0.65,2580,355.0,100,420
canyon-meadows,Fish Creek,13.0,309.0,325.0,3.0,5162.0,921.0,6083.0,2.0,7810,105190.0,0.07424660138796464,1080,5575,1090,70,3895,3915,2.5,5660,1990,400,155,265,740,1830,4150.0,6730.0,0.71,0.63,3025,660.0,120,495
cedarbrae,Fish Creek,10.0,251.0,264.0,3.0,4190.0,748.0,4938.0,2.0,6340,105190.0,0.060271888962829166,1000,4395,880,70,3120,3220,2.4,4780,1465,395,100,370,745,1500,3100.0,5345.0,0.73,0.65,2665,465.0,85,700
deer-ridge,Fish Creek,7.0,162.0,170.0,2.0,2710.0,484.0,3194.0,1.0,4100,105190.0,0.03897708907690845,840,2870,365,30,1975,2120,2.7,3440,620,85,35,190,600,1020,1635.0,3260.0,0.76,0.68,1730,250.0,45,490
deer-run,Fish Creek,8.0,203.0,213.0,2.0,3384.0,604.0,3988.0,1.0,5120,105190.0,0.04867382831067592,740,3655,690,30,2630,2485,2.5,4240,850,135,30,85,470,1415,2495.0,4375.0,0.72,0.66,2310,275.0,55,290
diamond-cove,Fish Creek,1.0,33.0,34.0,0.0,545.0,97.0,643.0,0.0,825,105190.0,0.007842950850841334,110,530,180,10,435,390,2.5,625,200,25,0,10,55,185,480.0,720.0,0.62,0.56,335,25.0,0,35
fairview,Fish Creek,6.0,150.0,158.0,2.0,2505.0,447.0,2952.0,1.0,3790,105190.0,0.036030040878410496,555,2735,420,85,1945,1845,2.4,2700,975,315,120,110,510,970,1755.0,3235.0,0.71,0.65,1530,335.0,115,325
Haysboro,Fish Creek,12.0,283.0,298.0,3.0,4736.0,845.0,5581.0,2.0,7165,105190.0,0.0681148398136705,830,5300,835,205,3600,3565,2.1,5215,1780,470,165,170,730,1685,3925.0,6335.0,0.74,0.67,2810,860.0,235,675
Kingsland,Fish Creek,8.0,189.0,198.0,2.0,3153.0,563.0,3715.0,1.0,4770,105190.0,0.04534651582850081,655,3565,460,90,2385,2385,2.1,2920,1585,560,265,180,580,1210,2320.0,4110.0,0.75,0.65,1735,480.0,315,710
Lake Bonavista,Fish Creek,17.0,416.0,437.0,4.0,6953.0,1241.0,8194.0,3.0,10520,105190.0,0.10000950660709193,1695,6645,1985,195,5260,5265,2.6,8800,1645,125,80,250,755,2185,5890.0,8825.0,0.65,0.59,3825,615.0,215,350
Maple Ridge,Fish Creek,3.0,79.0,83.0,1.0,1315.0,235.0,1550.0,1.0,1990,105190.0,0.01891814811293849,260,1270,420,40,975,1025,2.5,1770,220,0,10,35,160,555,1020.0,1735.0,0.64,0.59,790,85.0,10,55
