name,local health area,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
ERMINESKIN (5180) ( 7.8%),Duggan,8.0,250.0,268.0,10.0,3491.0,666.0,4158.0,1.0,742.0,37480.0,0.14074172892209177,760,3580,785,145,2570,2705,2.8,3045,1940,765,290,205,585,1045,2885,4520,66.0,59.9,1800,610,155,825.0
GREENFIELD (5220) ( 4.9%),Duggan,6.0,183.0,196.0,7.0,2555.0,488.0,3042.0,1.0,398.0,37480.0,0.10298826040554962,590,2500,710,60,1925,1935,2.9,3075,740,110,40,130,370,720,2185,3275,65.8,61.2,1465,280,115,250.0
MALMO PLAINS (5280) ( 2.7%),Duggan,5.0,153.0,164.0,6.0,2138.0,408.0,2546.0,1.0,278.0,37480.0,0.08617929562433298,740,2135,310,40,1580,1645,3.0,1705,995,480,540,105,150,390,1950,2495,66.1,60.0,770,540,80,655.0
RIDEAU PARK (5360) ( 6.6%),Duggan,2.0,80.0,86.0,3.0,1122.0,214.0,1336.0,0.0,77.0,37480.0,0.045224119530416225,210,1035,385,60,895,800,2.8,940,675,155,80,95,210,410,855,1480,59.8,54.7,555,150,40,225.0
ROYAL GARDENS (5430) ( 6.0%),Duggan,5.0,171.0,183.0,7.0,2393.0,457.0,2849.0,1.0,349.0,37480.0,0.09645144076840982,660,2550,360,50,1740,1875,3.0,2245,1225,385,140,180,410,715,1825,2950,68.5,62.1,1235,380,95,585.0
STEINHAUER (5470) ( 3.1%),Duggan,3.0,98.0,105.0,4.0,1363.0,260.0,1624.0,0.0,113.0,37480.0,0.05496264674493063,350,1360,320,30,965,1090,2.9,1370,660,150,30,55,165,410,1130,1705,67.2,60.7,735,150,60,180.0
SWEET GRASS (5490) ( 4.9%),Duggan,4.0,129.0,138.0,5.0,1804.0,344.0,2148.0,1.0,198.0,37480.0,0.07270544290288154,515,1870,330,10,1285,1440,2.9,1760,855,220,105,80,250,530,1435,2205,70.3,65.1,995,295,35,435.0
UNIVERSITY OF ALBERTA (5520) ( 13.2%),Duggan,0.0,5.0,6.0,0.0,73.0,14.0,87.0,0.0,0.0,37480.0,0.002934898612593383,0,110,0,0,30,75,0.0,55,0,0,50,10,0,55,55,110,42.9,38.1,10,10,15,
UNIVERSITY OF ALBERTA FARM (5530) ( 11.4%),Duggan,1.0,18.0,19.0,1.0,245.0,47.0,292.0,0.0,4.0,37480.0,0.009871931696905017,30,295,40,0,190,180,2.5,255,75,15,35,15,55,75,205,335,83.6,76.1,170,55,10,20.0
ALBERTA AVENUE (1010) ( 8.5%),Eastwood,12.0,461.0,488.0,14.0,4479.0,682.0,5161.0,1.0,801.0,57240.0,0.11827393431167016,930,5140,625,65,3445,3325,2.8,4800,1830,460,140,700,1505,1625,2705,5835,69.5,61.3,2480,690,215,1120.0
BOYLE STREET (1020) ( 11.6%),Eastwood,9.0,344.0,363.0,11.0,3338.0,508.0,3846.0,1.0,445.0,57240.0,0.08813766596785465,460,3820,595,165,2710,2330,2.4,2985,1805,430,250,515,1090,1255,2235,4580,62.3,55.0,1500,580,255,1485.0
CENTRAL MCDOUGALL (1030) ( 9.0%),Eastwood,8.0,308.0,325.0,10.0,2987.0,455.0,3442.0,1.0,356.0,57240.0,0.07887840670859539,565,3635,280,30,2420,2100,2.7,2335,1960,875,215,420,985,1115,1840,3950,67.9,59.1,1150,690,405,1290.0
CROMDALE (1070) ( 8.8%),Eastwood,3.0,130.0,137.0,4.0,1260.0,192.0,1452.0,0.0,63.0,57240.0,0.033280922431865825,215,1490,170,30,985,915,2.4,1195,620,245,85,220,335,395,955,1690,68.5,62.6,720,265,40,385.0
DELTON (1080) ( 5.4%),Eastwood,4.0,146.0,155.0,5.0,1419.0,216.0,1635.0,0.0,80.0,57240.0,0.03747379454926625,290,1605,225,30,1155,995,2.8,1650,485,80,20,210,495,540,830,1860,68.8,62.1,905,145,20,230.0
DOWNTOWN (1090) ( 8.6%),Eastwood,19.0,734.0,776.0,23.0,7129.0,1085.0,8214.0,1.0,2028.0,57240.0,0.18824248777078967,305,9680,715,70,5685,5085,2.2,6590,2655,960,1530,475,495,2435,7535,10470,78.3,73.1,3095,1515,2640,2235.0
EASTWOOD (1100) ( 13.3%),Eastwood,7.0,280.0,296.0,9.0,2716.0,413.0,3129.0,1.0,294.0,57240.0,0.07171558350803633,650,2975,425,50,2185,1920,2.8,2895,1130,285,80,660,1050,1080,1325,3455,60.3,53.1,1150,500,75,1165.0
ELMWOOD PARK (1130) ( 12.3%),Eastwood,2.0,81.0,85.0,3.0,784.0,119.0,903.0,0.0,25.0,57240.0,0.02070230607966457,190,870,110,15,650,530,2.8,875,270,55,35,215,315,340,345,995,69.2,62.1,440,95,10,215.0
MCCAULEY (1140) ( 6.8%),Eastwood,7.0,253.0,268.0,8.0,2461.0,375.0,2836.0,0.0,242.0,57240.0,0.0649895178197065,475,2815,375,50,2045,1670,2.9,2135,1470,290,115,455,1150,760,1325,3240,57.3,48.9,860,365,260,1130.0
PARKDALE (1160) ( 7.6%),Eastwood,7.0,249.0,263.0,8.0,2418.0,368.0,2786.0,0.0,233.0,57240.0,0.06385394828791055,575,2695,335,50,1955,1700,2.8,2545,1050,240,60,525,830,840,1405,3085,67.4,58.2,1195,365,85,685.0
RIVERDALE (1210) ( 3.9%),Eastwood,4.0,138.0,146.0,4.0,1340.0,204.0,1544.0,0.0,72.0,57240.0,0.03537735849056604,275,1480,265,10,940,1085,2.6,1710,305,55,15,130,130,345,1280,1750,75.2,71.2,800,110,210,105.0
ROSSDALE (1220) ( 4.6%),Eastwood,2.0,62.0,65.0,2.0,599.0,91.0,690.0,0.0,14.0,57240.0,0.015810621942697414,45,765,80,10,515,390,2.3,725,150,30,35,35,60,150,650,855,83.6,77.2,415,90,100,85.0
VIRGINIA PARK (1240) ( 3.0%),Eastwood,1.0,43.0,46.0,1.0,420.0,64.0,484.0,0.0,7.0,57240.0,0.011093640810621943,55,385,155,45,270,365,2.7,555,80,0,0,45,115,135,335,580,62.4,57.3,215,60,35,115.0
BELLEVUE (2060) ( 4.4%),Eastwood,2.0,74.0,78.0,2.0,715.0,109.0,823.0,0.0,20.0,57240.0,0.018867924528301886,140,770,140,25,515,565,2.7,900,140,10,30,75,110,210,610,935,72.2,65.8,440,90,30,95.0
HIGHLANDS (2330) ( 4.5%),Eastwood,5.0,179.0,190.0,6.0,1743.0,265.0,2009.0,0.0,121.0,57240.0,0.04603424178895877,350,1875,350,55,1340,1290,2.6,2260,335,55,35,150,275,545,1465,2285,73.1,68.7,1205,175,55,145.0
MONTROSE (2550) ( 6.2%),Eastwood,6.0,215.0,228.0,7.0,2091.0,318.0,2409.0,0.0,174.0,57240.0,0.05520614954577219,460,2315,335,50,1595,1565,2.9,2410,725,220,25,385,715,850,1140,2700,65.0,56.9,1155,265,50,550.0
NEWTON (2560) ( 5.5%),Eastwood,5.0,203.0,215.0,6.0,1972.0,300.0,2272.0,0.0,155.0,57240.0,0.052061495457721874,460,2095,395,30,1555,1430,2.7,2255,695,120,35,310,655,765,1100,2525,65.9,58.2,1150,220,20,275.0
CRESTWOOD (3140) ( 6.5%),Jasper Place,2.0,64.0,70.0,3.0,655.0,129.0,783.0,0.0,59.0,93155.0,0.025065750630669313,385,1495,385,70,1105,1230,2.9,1905,405,20,25,70,225,395,1325,1950,67.3,65.0,1010,75,65,145.0
LAURIER HEIGHTS (3270) ( 4.1%),Jasper Place,2.0,72.0,79.0,4.0,739.0,145.0,884.0,0.0,75.0,93155.0,0.028286189683860232,415,1675,340,210,1280,1350,2.9,2295,320,20,25,65,190,445,1585,2220,66.2,62.8,1095,60,65,115.0
PARKVIEW (3330) ( 2.2%),Jasper Place,3.0,90.0,98.0,5.0,925.0,182.0,1107.0,0.0,117.0,93155.0,0.035424829585100105,565,2160,505,65,1625,1680,2.9,2845,440,60,15,130,255,575,1905,2730,69.0,65.0,1385,125,75,160.0
ALDERGROVE (4020) ( 4.5%),Jasper Place,5.0,150.0,164.0,8.0,1538.0,302.0,1840.0,0.0,323.0,93155.0,0.05888036068917396,970,3995,475,40,2680,2805,3.0,3760,1600,505,120,475,760,1390,2365,4510,73.3,66.3,2170,520,120,615.0
BELMEAD (4040) ( 4.4%),Jasper Place,5.0,131.0,143.0,7.0,1342.0,264.0,1605.0,0.0,246.0,93155.0,0.05136600289839515,925,3260,555,55,2330,2460,3.1,2935,1695,330,160,250,655,1035,2180,3870,70.2,63.1,1805,430,100,595.0
DECHENE (4110) ( 4.5%),Jasper Place,2.0,45.0,49.0,2.0,460.0,90.0,550.0,0.0,29.0,93155.0,0.017605066824110355,220,1105,290,25,795,840,2.9,1160,470,45,10,45,170,400,850,1420,68.0,66.2,735,80,20,20.0
DONSDALE (4120) ( 3.0%),Jasper Place,1.0,32.0,34.0,2.0,322.0,63.0,386.0,0.0,14.0,93155.0,0.012345016370565186,160,830,160,0,570,580,3.0,720,420,0,10,25,100,245,645,990,69.2,67.7,555,25,20,20.0
GARIEPY (4160) ( 5.2%),Jasper Place,2.0,53.0,57.0,3.0,540.0,106.0,646.0,0.0,40.0,93155.0,0.020664483924641725,310,1255,350,10,935,990,2.9,1410,505,30,0,65,130,395,1090,1615,69.3,64.7,800,90,15,110.0
JAMIESON PLACE (4220) ( 3.3%),Jasper Place,4.0,108.0,118.0,6.0,1108.0,218.0,1325.0,0.0,167.0,93155.0,0.04240244753368042,575,2975,350,40,1970,1975,3.1,2705,1220,220,20,115,380,1000,1985,3370,76.3,71.7,1925,215,65,105.0
LYMBURN (4270) ( 3.7%),Jasper Place,6.0,163.0,177.0,9.0,1665.0,327.0,1993.0,0.0,379.0,93155.0,0.06376469325318018,1120,4300,500,20,2900,3040,3.1,4090,1750,240,100,385,770,1510,2535,4820,76.6,70.6,2705,460,55,530.0
LYNNWOOD (4280) ( 6.0%),Jasper Place,4.0,102.0,111.0,5.0,1044.0,205.0,1250.0,0.0,149.0,93155.0,0.039987118243787236,645,2625,370,90,1910,1820,2.8,2410,1110,470,210,230,490,900,1690,3085,69.6,63.5,1305,485,85,430.0
OLESKIW (4360) ( 6.1%),Jasper Place,3.0,87.0,95.0,5.0,892.0,175.0,1067.0,0.0,109.0,93155.0,0.03413665396382373,480,2030,610,55,1540,1640,3.0,2360,815,55,10,75,215,535,1955,2695,63.6,59.9,1300,70,30,140.0
