date,location,cases_total,cases_active,cases_recovered,deaths
2021/04/17,Centre North,1751,200.0,1454.0,97.0
2021/02/08,Centre North,1319,68.0,1161.0,90.0
2020/10/06,Centre North,283,9.0,234.0,40.0
2020/06/09,Centre North,149,13.0,102.0,34.0
2020/09/20,Centre North,269,14.0,215.0,40.0
2021/03/09,Centre North,1378,37.0,1244.0,97.0
2020/11/25,Centre North,575,124.0,398.0,53.0
2021/02/09,Centre North,1319,64.0,1165.0,90.0
2021/03/30,Centre North,1494,91.0,1306.0,97.0
2021/04/06,Centre North,1575,122.0,1356.0,97.0
2020/08/27,Centre North,238,6.0,192.0,40.0
2020/08/12,Centre North,231,7.0,184.0,40.0
2021/05/02,Centre North,1954,172.0,1685.0,97.0
2020/06/14,Centre North,150,11.0,105.0,34.0
2021/05/20,Centre North,2107,97.0,1913.0,97.0
2021/03/07,Centre North,1371,34.0,1240.0,97.0
2021/02/07,Centre North,1316,66.0,1160.0,90.0
2020/07/06,Centre North,187,9.0,137.0,41.0
2020/07/29,Centre North,219,21.0,158.0,40.0
2020/12/18,Centre North,926,174.0,690.0,62.0
2020/12/20,Centre North,956,178.0,716.0,62.0
2020/04/20,Centre North,35,14.0,18.0,3.0
2021/04/08,Centre North,1619,155.0,1367.0,97.0
2020/11/09,Centre North,443,88.0,309.0,46.0
2020/09/23,Centre North,273,12.0,221.0,40.0
2020/05/10,Centre North,99,33.0,52.0,14.0
2020/08/05,Centre North,227,15.0,172.0,40.0
2020/11/24,Centre North,567,122.0,392.0,53.0
2021/02/10,Centre North,1327,71.0,1166.0,90.0
2020/11/20,Centre North,532,105.0,374.0,53.0
2021/03/10,Centre North,1381,38.0,1246.0,97.0
2020/10/22,Centre North,336,45.0,250.0,41.0
2020/07/05,Centre North,187,9.0,137.0,41.0
2020/06/15,Centre North,150,8.0,108.0,34.0
2020/09/13,Centre North,263,15.0,208.0,40.0
2021/05/07,Centre North,2018,164.0,1757.0,97.0
2020/03/20,Centre North,1,,,
2020/12/22,Centre North,978,171.0,745.0,62.0
2021/03/31,Centre North,1503,93.0,1313.0,97.0
2021/02/17,Centre North,1348,67.0,1190.0,91.0
2020/05/21,Centre North,124,35.0,68.0,21.0
2021/05/03,Centre North,1968,174.0,1697.0,97.0
2021/05/19,Centre North,2107,109.0,1901.0,97.0
2020/06/02,Centre North,135,15.0,94.0,26.0
2020/07/26,Centre North,216,22.0,153.0,41.0
2021/02/16,Centre North,1346,66.0,1189.0,91.0
2020/08/16,Centre North,233,7.0,186.0,40.0
2020/11/08,Centre North,437,86.0,306.0,45.0
2021/01/28,Centre North,1274,78.0,1108.0,88.0
2020/09/28,Centre North,279,11.0,228.0,40.0
2020/10/05,Centre North,283,11.0,232.0,40.0
2020/06/08,Centre North,149,14.0,102.0,33.0
2020/12/27,Centre North,1011,151.0,795.0,65.0
2020/05/09,Centre North,96,32.0,50.0,14.0
2020/03/22,Centre North,2,,,
2020/12/19,Centre North,942,175.0,705.0,62.0
2021/04/04,Centre North,1551,111.0,1343.0,97.0
2020/09/08,Centre North,256,18.0,198.0,40.0
2021/05/18,Centre North,2104,114.0,1893.0,97.0
2020/08/31,Centre North,246,12.0,194.0,40.0
2021/03/08,Centre North,1377,39.0,1241.0,97.0
2020/05/02,Centre North,84,50.0,29.0,5.0
2020/12/17,Centre North,913,176.0,676.0,61.0
2021/05/25,Centre North,2125,61.0,1966.0,98.0
2020/11/19,Centre North,526,102.0,372.0,52.0
2021/02/02,Centre North,1298,66.0,1142.0,90.0
2021/05/26,Centre North,2127,56.0,1973.0,98.0
2020/12/08,Centre North,800,206.0,538.0,56.0
2020/07/20,Centre North,206,18.0,147.0,41.0
2020/10/15,Centre North,298,17.0,241.0,40.0
2020/04/03,Centre North,17,,,
2021/03/18,Centre North,1418,60.0,1261.0,97.0
2020/09/24,Centre North,273,11.0,222.0,40.0
2021/04/10,Centre North,1649,173.0,1379.0,97.0
2020/04/22,Centre North,46,25.0,18.0,3.0
2021/02/05,Centre North,1307,64.0,1153.0,90.0
2020/05/17,Centre North,120,37.0,65.0,18.0
2020/03/27,Centre North,7,,,
2021/04/13,Centre North,1688,183.0,1408.0,97.0
2020/10/01,Centre North,280,9.0,231.0,40.0
2020/05/14,Centre North,111,33.0,64.0,14.0
2020/07/13,Centre North,196,10.0,145.0,41.0
2020/07/21,Centre North,207,15.0,151.0,41.0
2020/11/30,Centre North,659,152.0,453.0,54.0
2021/02/14,Centre North,1341,69.0,1181.0,91.0
2020/12/10,Centre North,817,191.0,569.0,57.0
2021/03/17,Centre North,1410,53.0,1260.0,97.0
2020/07/30,Centre North,220,21.0,159.0,40.0
2021/02/12,Centre North,1333,67.0,1175.0,91.0
2020/11/15,Centre North,493,103.0,339.0,51.0
2020/06/04,Centre North,138,14.0,96.0,28.0
2020/12/01,Centre North,679,165.0,460.0,54.0
2021/05/23,Centre North,2116,74.0,1945.0,97.0
2020/05/06,Centre North,90,40.0,36.0,14.0
2021/03/25,Centre North,1464,78.0,1289.0,97.0
2020/12/09,Centre North,803,195.0,552.0,56.0
2020/06/12,Centre North,151,14.0,104.0,33.0
2020/07/12,Centre North,193,7.0,145.0,41.0
2020/12/02,Centre North,698,172.0,472.0,54.0
2020/05/04,Centre North,84,39.0,36.0,9.0
2020/12/05,Centre North,761,210.0,496.0,55.0
2021/02/03,Centre North,1303,71.0,1142.0,90.0
2020/12/04,Centre North,735,193.0,488.0,54.0
2021/04/11,Centre North,1664,178.0,1389.0,97.0
2020/06/11,Centre North,149,11.0,105.0,33.0
2021/03/21,Centre North,1432,69.0,1266.0,97.0
2020/07/19,Centre North,206,19.0,146.0,41.0
2021/03/22,Centre North,1442,75.0,1270.0,97.0
2020/07/16,Centre North,199,13.0,145.0,41.0
2021/02/13,Centre North,1336,65.0,1180.0,91.0
2020/11/16,Centre North,496,98.0,347.0,51.0
2020/03/31,Centre North,10,,,
2020/12/06,Centre North,774,211.0,508.0,55.0
2020/05/15,Centre North,114,31.0,65.0,18.0
2020/03/29,Centre North,10,,,
2020/05/16,Centre North,117,34.0,65.0,18.0
2021/05/01,Centre North,1941,174.0,1670.0,97.0
2020/09/09,Centre North,258,17.0,201.0,40.0
2021/03/24,Centre North,1459,85.0,1277.0,97.0
2020/08/24,Centre North,234,4.0,190.0,40.0
2021/03/20,Centre North,1430,70.0,1263.0,97.0
2020/11/17,Centre North,505,100.0,354.0,51.0
2020/09/30,Centre North,280,11.0,229.0,40.0
2020/07/15,Centre North,198,12.0,145.0,41.0
2020/08/03,Centre North,225,16.0,169.0,40.0
2021/02/04,Centre North,1305,68.0,1147.0,90.0
2021/05/24,Centre North,2119,64.0,1958.0,97.0
2020/12/03,Centre North,715,179.0,482.0,54.0
2021/05/05,Centre North,1996,167.0,1732.0,97.0
2020/08/13,Centre North,231,7.0,184.0,40.0
