num,name,local_health_area,zone,active_cases,recovered_cases,total_cases,deaths,dose_1,dose_2,total_dose_administered,number_of_total_outbreaks,outbreak_severity,population,population_region,population_ratio,age_0_14,age_15_64,age_65_84,age_85,male,female,avg_household_size,non_immigrants,immigrants,recent_immigrants,non_pr,aboriginal,no_certificate,high_school,post_secondary,number_of_population_over_15,labour_participation_rate,employement_rate,driver_passenger,public_transit,walked_bike,low_income
51,RAPPERSWILL (3370) ( 5.2%),Castle Downs,Edmonton,5,180,185,1,1370,228,1598,0,safe,81,69790,0.034030663,555,1770,45,0,1185,1195,3.1,1440,900,350,35,65,225,420,1180.0,1820.0,84.3,79.7,1260,105.0,35,30.0
52,ALBANY (3460) ( 8.8%),Castle Downs,Edmonton,3,102,105,0,776,129,905,0,safe,26,69790,0.019272102,315,995,30,10,700,645,3.0,840,485,110,20,25,110,295,625.0,1030.0,85.4,81.1,740,40.0,10,90.0
53,CARLTON (3470) ( 5.0%),Castle Downs,Edmonton,11,400,412,2,3047,507,3554,0,safe,399,69790,0.075655538,1380,3565,320,15,2600,2685,3.2,3470,1665,285,145,145,590,1040,2275.0,3905.0,77.2,72.7,2450,175.0,40,395.0
54,HUDSON (3480) ( 6.0%),Castle Downs,Edmonton,5,191,197,1,1454,242,1696,0,safe,91,69790,0.036108325,505,1875,130,10,1265,1250,3.3,1480,1015,210,25,45,405,575,1035.0,2010.0,75.1,68.9,1195,95.0,50,130.0
55,DECOTEAU (6663) ( 5.6%),Castle Downs,Edmonton,1,24,25,0,185,31,215,0,safe,1,69790,0.004585184,60,215,45,0,180,140,2.9,215,105,20,0,20,40,70,150.0,260.0,69.8,67.9,140,0.0,0,20.0
56,BLUE QUILL (5060) ( 5.9%),Duggan,Edmonton,7,217,232,8,3028,578,3606,1,mild,558,37480,0.122065101,840,3335,385,10,2335,2235,2.9,2340,1865,915,375,140,460,855,2425.0,3735.0,71.1,64.3,1560,620.0,70,730.0
57,DUGGAN (5160) ( 7.8%),Duggan,Edmonton,7,217,232,8,3031,579,3610,1,mild,560,37480,0.122198506,850,3085,590,55,2240,2340,3.0,3000,1455,565,125,235,460,910,2360.0,3730.0,66.5,60.6,1590,350.0,170,460.0
58,EMPIRE PARK (5170) ( 7.9%),Duggan,Edmonton,8,255,273,10,3564,680,4244,1,mild,774,37480,0.143676628,695,4380,295,20,2785,2595,2.7,2955,1555,770,880,250,470,1615,2605.0,4690.0,70.1,62.3,1635,895.0,295,1130.0
59,ERMINESKIN (5180) ( 7.8%),Duggan,Edmonton,8,250,268,10,3491,666,4158,1,mild,742,37480,0.140741729,760,3580,785,145,2570,2705,2.8,3045,1940,765,290,205,585,1045,2885.0,4520.0,66.0,59.9,1800,610.0,155,825.0
60,GREENFIELD (5220) ( 4.9%),Duggan,Edmonton,6,183,196,7,2555,488,3042,1,mild,398,37480,0.10298826,590,2500,710,60,1925,1935,2.9,3075,740,110,40,130,370,720,2185.0,3275.0,65.8,61.2,1465,280.0,115,250.0
61,MALMO PLAINS (5280) ( 2.7%),Duggan,Edmonton,5,153,164,6,2138,408,2546,1,mild,278,37480,0.086179296,740,2135,310,40,1580,1645,3.0,1705,995,480,540,105,150,390,1950.0,2495.0,66.1,60.0,770,540.0,80,655.0
62,RIDEAU PARK (5360) ( 6.6%),Duggan,Edmonton,2,80,86,3,1122,214,1336,0,safe,77,37480,0.04522412,210,1035,385,60,895,800,2.8,940,675,155,80,95,210,410,855.0,1480.0,59.8,54.7,555,150.0,40,225.0
63,ROYAL GARDENS (5430) ( 6.0%),Duggan,Edmonton,5,171,183,7,2393,457,2849,1,mild,349,37480,0.096451441,660,2550,360,50,1740,1875,3.0,2245,1225,385,140,180,410,715,1825.0,2950.0,68.5,62.1,1235,380.0,95,585.0
